content,label
"Penipuan kok diloloskan, hebat shopee sarang penipu",0
Kecewa dengan pihak shoppee,0
iklan d gedein.. tp benefit pengguna di kurangin..,0
"Tanpa sebab Akun dinonaktifkan,meski sdh ajukan banding",0
Potongan ongkirnya makin pelit. Hmm:(,0
Kagak pernah kecewa dah belanja di shopee ðŸ‘ðŸ¾,1
Kwalitas bagus harga bersaing pengiriman cepat.,1
"Murah, mudah, menyenangkan",1
"Senang belanja di shopee,banyak promo n gratis ongkirx,mksh shopee ðŸ¤",1
Produk yg saya beli d shoope sangat berkualitas dan menjamin,1
